"uri:/instrument/1.0/^GDAXI/chartdata;type=quote;range=1d/csv";;;;;;;;
ticker:^gdaxi;;;;;;;;
Company-Name:DAX;;;;;;;;
Exchange-Name:GER;;;;;;;;
unit:MIN;;;;;;;;
timezone:CEST;;;;;;;;
currency:EUR;;;;;;;;
gmtoffset:7200;;;;;;;;
previous_close:10585.7803;;;;;;;;
Timestamp:1475737200;1475767800;;;;;;;
labels:1475737200;1475740800;1475744400;1475748000;1475751600;1475755200;1475758800;1475762400;1475766000
values:Timestamp;close;high;low;open;volume;;;
close:10538.4805;10633.04;;;;;;;
high:10541.5996;10633.96;;;;;;;
low:10537.6797;10632.6797;;;;;;;
open:10538.6504;10633.1602;;;;;;;
volume:0;0;;;;;;;
1475738157;10624.6201;10625.7998;10623.0996;10623.1504;0;;;
1475738219;10623.5996;10625.7695;10623.5098;10623.8604;0;;;
1475738279;10628.2305;10628.4004;10623.5498;10623.5498;0;;;
1475738339;10632.4902;10633.9297;10629.7998;10630.1396;0;;;
1475738399;10633.04;10633.9404;10632.6797;10633.1602;0;;;
1475738458;10632.7803;10633.96;10631.8701;10632.7305;0;;;
1475738519;10629.79;10633.4297;10629.2998;10632.7598;0;;;
1475738579;10629.4902;10632.0498;10629.1602;10629.6699;0;;;
1475738639;10627.7002;10629.9697;10626.0498;10629.3301;0;;;
1475738699;10618.7305;10627.7305;10618.4297;10627.7305;0;;;
1475738759;10600.8398;10618.6201;10600.8398;10618.6201;0;;;
1475738819;10597.04;10599.7598;10594.7695;10599.1396;0;;;
1475738879;10600.0898;10603.3604;10597.5303;10597.5303;0;;;
1475738939;10604.5596;10604.5596;10598.7803;10599.8604;0;;;
1475738999;10602.9102;10605.4902;10602.9102;10604.9004;0;;;
1475739058;10603.2402;10605.2002;10600.8203;10602.71;0;;;
1475739119;10606.5898;10607.6699;10603.1797;10603.1797;0;;;
1475739179;10611.7305;10611.7305;10606.3203;10606.5703;0;;;
1475739239;10618.2695;10620.8604;10611.8096;10611.8096;0;;;
1475739299;10619.0703;10619.0703;10617.54;10618.3896;0;;;
1475739359;10621.5703;10622.5996;10618.75;10619.3301;0;;;
1475739419;10622.54;10623.1797;10620.9902;10621.2598;0;;;
1475739478;10624.4404;10624.7695;10622.5498;10622.7803;0;;;
1475739539;10621.7695;10624.46;10620.6396;10624.1797;0;;;
1475739598;10623.0596;10623.0898;10620.1797;10622.0996;0;;;
1475739659;10624.6201;10624.6797;10622.9902;10623.4102;0;;;
1475739719;10624.5498;10627.8496;10622.1602;10624.6504;0;;;
1475739779;10627.8301;10628.4102;10624.8604;10625.0303;0;;;
1475739839;10627.3896;10628.0703;10626.6396;10628.0703;0;;;
1475739899;10631.1504;10633.5703;10627.2998;10627.2998;0;;;
1475739959;10627.0801;10631.4697;10627.0801;10630.8398;0;;;
1475740018;10629.3496;10629.8896;10626.7197;10626.96;0;;;
1475740079;10626.3096;10630.29;10626.0303;10629.2002;0;;;
1475740139;10630.0303;10631.2002;10626.3604;10626.3604;0;;;
1475740199;10629.04;10631.6396;10628.6904;10629.9697;0;;;
